"nom_commercial","raison_sociale","email","telephone","website","adresse","ville","region","pays","code_postal","secteur_activite","taille_entreprise","type_entreprise","nombre_employes","chiffre_affaires","description","siren","siret","code_naf","qualification_score","score_pct","qualification","enrich_score","email_mx_verified","criteria_met","criteria_total","source","source_origin","email_valid","website_active","linkedin_url","created_at","hash_dedup","is_converted","is_deleted","job_id","nlp_confidence","raw_text","score_detail","secteur_activite_id","secteur_activite_scraped","sector_confidence","updated_at"
"CONSTRUCTION D'ARS","CONSTRUCTION D'ARS","","","https://entreprises.lefigaro.fr/construction-d-ars-77/entreprise-848994182","2 B RUE EMILE CLOUD 77700 SERRIS","Serris","Île-de-France","France","77700","BTP","","","","","Société Construction D'ars (Serris, 77700) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","848994182","84899418200014","41.10A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:33.012750","2403ca0a2f8029d0","","False","","0.396","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.lefigaro.fr/construction-d-ars-77/entreprise-848994182""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"DAUPHINE CONSTRUCTION (SELBI)","DAUPHINE CONSTRUCTION","","","https://entreprises.lefigaro.fr/selbi-06/entreprise-853006823","61 RUE DE PARIS 78100 SAINT-GERMAIN-EN-LAYE","Saint-Germain-en-Laye","Île-de-France","France","78100","BTP","","","","","Société Dauphine Construction (Saint-Germain-en-Laye, 78100) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","853006823","85300682300043","41.10A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:33.012750","9bdbbcdfa95818ef","","False","","0.443","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.lefigaro.fr/selbi-06/entreprise-853006823""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"J M CONSTRUCTIONS SARL","J M CONSTRUCTIONS SARL","","","https://www.monartisan.info/pro-j-m-constructions-sarl-48751627000013","53 RUE LAVOISIER 95330 DOMONT","Domont","Île-de-France","France","95330","BTP","","","","","Contactez J M CONSTRUCTIONS SARL à DOMONT (95330) : téléphone, adresse, zone d’intervention et informations légales","487516270","48751627000013","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","4ed35760ec385915","","False","","1.0","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.monartisan.info/pro-j-m-constructions-sarl-48751627000013""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"TIB CONSTRUCTION (TIB CONSTRUCTION) (TIB CONSTRUCTION)","TIB CONSTRUCTION","","","https://entreprises.lefigaro.fr/tib-construction-44/entreprise-978934917","121 AVENUE DES CHAMPS ELYSEES 75008 PARIS","Paris","Île-de-France","France","75008","BTP","","","","","Société Tib Construction (Paris, 75008) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","978934917","97893491700029","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","9720fd2ffdd6b932","","False","","0.421","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.lefigaro.fr/tib-construction-44/entreprise-978934917""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"S.B.C CONSTRUCTION","S.B.C CONSTRUCTION","","","https://entreprises.lefigaro.fr/s-b-c-construction-75/entreprise-439520065","CHEZ SOCIETE KC DOM 23 RUE D'HAUTEVILLE 75010 PARIS","Paris","Île-de-France","France","75010","BTP","","","","","Société SBC Construction (Paris, 75010) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","439520065","43952006500038","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","b7068febee1bd994","","False","","0.441","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.lefigaro.fr/s-b-c-construction-75/entreprise-439520065""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"LIVRY CONSTRUCTION","LIVRY CONSTRUCTION","","","https://livry-constructions.fr","48 A 58 48 AVENUE LUCIE AUBRAC 93190 LIVRY-GARGAN","Livry-Gargan","Île-de-France","France","93190","BTP","","","","","","443722202","44372220200035","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","444661039accc02d","","False","","0.425","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://livry-constructions.fr""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"DCG CONSTRUCTION","DCG CONSTRUCTION","","","https://www.carte-entreprises.fr/entreprise/530898543-dcg-construction","25 RUE NOTRE DAME DES CHAMPS 91100 CORBEIL-ESSONNES","Corbeil-Essonnes","Île-de-France","France","91100","BTP","","","","","DCG CONSTRUCTION — 70.10Z — 25 RUE NOTRE DAME DES CHAMPS 91100 CORBEIL-ESSONNES — Dirigeant : DOMINIQUE GIANNONE (GIANNONE), CORINNE LAURE MARIE-LOUISE GIANNONE (LUCAS) — SIREN 530898543","530898543","53089854300018","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.167553","19ba08ba91670a4a","","False","","0.494","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.carte-entreprises.fr/entreprise/530898543-dcg-construction""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"G & D CONSTRUCTION","G & D CONSTRUCTION","","","https://www.prosmaison.fr/entreprise-84164951000036","4 RUE DES VIEILLES GRANGES 78410 AUBERGENVILLE","Aubergenville","Île-de-France","France","78410","BTP","","","","","Contactez G & D CONSTRUCTION à AUBERGENVILLE (78410) : téléphone, adresse, zone d’intervention et informations légales","841649510","84164951000036","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.167553","67ac46ada6ef6dfe","","False","","0.353","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.prosmaison.fr/entreprise-84164951000036""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"MOEVA CONSTRUCTION (MC)","MOEVA CONSTRUCTION","","","https://entreprises.lefigaro.fr/moeva-construction-976/entreprise-893522953","60 RUE DE LA JONQUIERE 75017 PARIS","Paris","Île-de-France","France","75017","BTP","","","","","Société Moeva Construction (Paris, 75017) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","893522953","89352295300023","41.20B","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:54.499476","3dd6b48704ff8fb4","","False","","0.505","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.lefigaro.fr/moeva-construction-976/entreprise-893522953""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"NEUILLY CONSTRUCTIONS","NEUILLY CONSTRUCTIONS","","","https://entreprises.annuairefrancais.fr/93330/neuilly-constructions-neuilly-sur-marne-93-seine-saint-denis-497513309-00011.html","72 RUE THEOPHILE GAUBERT 93330 NEUILLY-SUR-MARNE","Neuilly-sur-Marne","Île-de-France","France","93330","BTP","","","","","NEUILLY CONSTRUCTIONS (siren n° 497513309) est installé dans la commune de Neuilly-sur-Marne à l'adresse 74 RUE THEOPHILE GAUBERT dans le département de la Seine saint denis téléphone... neuilly constructions est référencé dans l'Annuaire Français dans la catégorie entreprises de batiments, informations complètes Bilans gratuits, statuts, chiffre d'affaires, dirigeants, actionnaires, levées de fonds, annonces légales, APE, NAF, TVA, RCS, KBIS, SIREN, SIRET, BODACC, INSEE, INPI.","497513309","49751330900029","41.20B","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:54.499476","024959cfe6fbb8b2","","False","","0.501","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.annuairefrancais.fr/93330/neuilly-constructions-neuilly-sur-marne-93-seine-saint-denis-497513309-00011.html""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"MAGALS CONSTRUCTION","MAGALS CONSTRUCTION","","","https://www.monartisan.info/pro-magals-construction-91391525200021","4 ROUTE DE TREMBLAY 93420 VILLEPINTE","Villepinte","Île-de-France","France","93420","BTP","","","","","Contactez MAGALS CONSTRUCTION à VILLEPINTE (93420) : téléphone, adresse, zone d’intervention et informations légales","913915252","91391525200021","43.29A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:14.932827","1a967a2b792d6dda","","False","","0.387","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.monartisan.info/pro-magals-construction-91391525200021""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:14.932827"
"PALMIER CONSTRUCTION","PALMIER CONSTRUCTION","","","https://entreprises.lefigaro.fr/palmier-construction-93/entreprise-821000684","6-8 6 RUE BERTHIER 93500 PANTIN","Pantin","Île-de-France","France","93500","BTP","","","","","Société Palmier Construction (Pantin, 93500) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","821000684","82100068400018","43.29A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:14.932827","5a273666e8c283b8","","False","","0.371","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.lefigaro.fr/palmier-construction-93/entreprise-821000684""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:14.932827"
"VMD CONSTRUCTIONS (VDM CONSTRUCTIONS)","VMD CONSTRUCTIONS","","","https://fr.mappy.com/poi/50b1198284aefb1e95a447d0","111 RUE MAXIMILIEN DE ROBESPIERRE 93600 AULNAY-SOUS-BOIS","Aulnay-sous-Bois","Île-de-France","France","93600","BTP","","","","","Découvrez VMD Constructions (111 r Maximillien Robespierre, 93600 Aulnay sous Bois) avec toutes les photos du quartier, le plan d'accès, les avis et les infos pratiques : horaires, ...","532919362","53291936200014","43.29A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:14.932827","99450f0e87daff72","","False","","0.375","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://fr.mappy.com/poi/50b1198284aefb1e95a447d0""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:14.932827"
"IMMO FRANCE CONSTRUCTION","IMMO FRANCE CONSTRUCTION","info@procedurecollective.fr","","https://www.procedurecollective.fr/fr/liquidation-judiciaire/1451844/immo-france-construction.aspx","82 BOULEVARD HENRI BARBUSSE 91210 DRAVEIL","Draveil","Île-de-France","France","91210","BTP","","","","","Immo France Construction située à Draveil (Essonne) a été déclarée en liquidation judiciaire par par le tribunal de  Tribunal De Commerce D'évry. En tant que liquidateur judiciaire est désigné Me SOUCHON Alain-François. Le numéro de RCS de cette affaire est le 821795226. Cet état des créances est déposé au greffe. Aucun rapport n'est (encore) disponible.","821795226","82179522600017","43.29A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:14.932827","7d7b08a7be04e497","","False","","0.433","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": ""info@procedurecollective.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.procedurecollective.fr/fr/liquidation-judiciaire/1451844/immo-france-construction.aspx""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:14.932827"
"BT PRESTIGE (BTP)","BT PRESTIGE","","","https://entreprises.lefigaro.fr/bt-prestige-btp-93/entreprise-434164307","CHEZ FRANCE SECRETARIAT 40 AVENUE DES FRICHES 93600 AULNAY-SOUS-BOIS","Aulnay-sous-Bois","Île-de-France","France","93600","BTP","","","","","Société BT Prestige - BTP (Aulnay-sous-Bois, 93600) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","434164307","43416430700010","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:24.955483","cd56503473abadbd","","False","","0.416","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.lefigaro.fr/bt-prestige-btp-93/entreprise-434164307""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:24.955483"
"M T BTP","M T BTP","","","https://www.monartisan.info/pro-m-t-btp-53862175600047","22 B RUE SAINT-DENIS 92700 COLOMBES","Colombes","Île-de-France","France","92700","BTP","","","","","Contactez M T BTP à COLOMBES (92700) : téléphone, adresse, zone d’intervention et informations légales","538621756","53862175600047","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:24.955483","f5a3fe56f88148e6","","False","","1.0","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.monartisan.info/pro-m-t-btp-53862175600047""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:24.956048"
"B.T.P","B.T.P","support-digital@probtp.com","05 56 11 56 11","https://www.probtp.com/particuliers-accueil.html","33 RUE ETIENNE CHEVALIER 95100 ARGENTEUIL","Argenteuil","Île-de-France","France","95100","Non spécifié","","","","","Nos offres d'assurances : complémentaire santé, assurance chien chat, épargne et prévoyance individuelle. Devis gratuit et rapide, des formules simples et adaptées à vos besoins.","504714098","50471409800010","41.20A","50","50.0","QUALIFIE","4","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/pro-btp-groupe","2026-04-21T17:25:24.956048","03a1d7da006707b8","","False","","0.0","","{""sector_match"": {""points"": 0, ""max"": 20, ""note"": ""no_match (non spécifié)""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""support-digital@probtp.com""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.probtp.com/particuliers-accueil.html""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""05 56 11 56 11""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:24.956048"
"BTP IDF","BTP IDF","","","https://www.cibtp-idf.fr","6 CITE JOLY 75011 PARIS","Paris","Île-de-France","France","75011","BTP","","","","","Au service des entreprises du BTP et de leurs salariés, la caisse CIBTP de l'Île-de-France gère les congés payés et opère le régime de chômage intempéries dans l'intérêt général de la profession.","517844775","51784477500018","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:24.956048","fb7f9de87e98033c","","False","","1.0","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.cibtp-idf.fr""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:24.956048"
"ALBI BTP","ALBI BTP","","","https://www.monartisan.info/pro-albi-btp-51014951100014","85 AVENUE DE LA DIVISION LECLERC 95200 SARCELLES","Sarcelles","Île-de-France","France","95200","BTP","","","","","Contactez ALBI BTP à SARCELLES (95200) : téléphone, adresse, zone d’intervention et informations légales","510149511","51014951100014","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:24.956048","9e9fd430faba33bd","","False","","1.0","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.monartisan.info/pro-albi-btp-51014951100014""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:24.956048"
